reason,accession,type,variant,isoform,protein_len,taxonomy id,organism,vgnc_id,hgnc_id,ncbi_id,ensembl_gene_id,species_name,order
exact_duplicate,XP_023108679.1,H2A,H2A.Z.1,,128,9685,Cat,VGNC:109893,,101087401,ENSFCAG00000039458,Felis catus,Carnivora
exact_duplicate,XP_023105894.1,H2A,H2A.Z.2,,90,9685,Cat,VGNC:109894,,101099622,ENSFCAG00000010271,Felis catus,Carnivora
exact_duplicate,XP_023105894.1,H2A,H2A.Z.2,,90,9685,Cat,VGNC:109894,,101099622,ENSFCAG00000010271,Felis catus,Carnivora
exact_duplicate,XP_023105894.1,H2A,H2A.Z.2,,90,9685,Cat,VGNC:109894,,101099622,ENSFCAG00000010271,Felis catus,Carnivora
exact_duplicate,XP_023105894.1,H2A,H2A.Z.2,,90,9685,Cat,VGNC:109894,,101099622,ENSFCAG00000010271,Felis catus,Carnivora
exact_duplicate,XP_023105893.1,H2A,H2A.Z.2,,128,9685,Cat,VGNC:109894,,101099622,ENSFCAG00000010271,Felis catus,Carnivora
exact_duplicate,XP_023105893.1,H2A,H2A.Z.2,,128,9685,Cat,VGNC:109894,,101099622,ENSFCAG00000010271,Felis catus,Carnivora
exact_duplicate,XP_023105893.1,H2A,H2A.Z.2,,128,9685,Cat,VGNC:109894,,101099622,ENSFCAG00000010271,Felis catus,Carnivora
exact_duplicate,XP_023105893.1,H2A,H2A.Z.2,,128,9685,Cat,VGNC:109894,,101099622,ENSFCAG00000010271,Felis catus,Carnivora
exact_duplicate,XP_044915091.1,H2A,macroH2A.1,,377,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
exact_duplicate,XP_044915091.1,H2A,macroH2A.1,,377,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
exact_duplicate,XP_044915089.1,H2A,macroH2A.1,,378,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
exact_duplicate,XP_044915089.1,H2A,macroH2A.1,,378,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
exact_duplicate,XP_044915085.1,H2A,macroH2A.1,,380,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
exact_duplicate,XP_044915085.1,H2A,macroH2A.1,,380,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
exact_duplicate,XP_044915084.1,H2A,macroH2A.1,,381,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
exact_duplicate,XP_044915084.1,H2A,macroH2A.1,,381,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
exact_duplicate,XP_023111205.1,H2A,macroH2A.1,,368,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
exact_duplicate,XP_023111205.1,H2A,macroH2A.1,,368,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
exact_duplicate,XP_023111201.1,H2A,macroH2A.1,,369,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
exact_duplicate,XP_023111201.1,H2A,macroH2A.1,,369,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
exact_duplicate,XP_023111196.1,H2A,macroH2A.1,,371,9685,Cat,VGNC:81624,,101080257,ENSFCAG00000013924,Felis catus,Carnivora
